what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269699880306
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269699886494
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269699909119
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269699916681
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269699922103
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269699989275
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269699997634
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700000665
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269700004697
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1269700032587
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700039478
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700047369
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1269700047384
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700050322
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700053525
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269700055744
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1269700067869
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700071759
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700078228
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1269700078244
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700082134
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700085290
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1269700087837
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269700119103
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1269700119369
